"Aseua3","Aseua5","Lifespan","RightTarsus","BodyMass","HeadBill","WingLength","dROMsAssay","dROMsAbs505nm","dROMsAbs546nm","dROMsCARRU505nm","dROMsCARRU546nm","natalTQ","dROMs505mMolH2O2","dROMs546mMolH2O2","Froh_imp","OXYabs505nm","OXYabs546nm","OXYmMolHClO505nm","OXYmMolHClO546nm","SexEstimate","FatherAge","MotherAge","ParentLifespan_1","ParentLifespan_0"
0,1,11,23.6,14.1,36.3,66,20,1.121,0.792,85.314,43.686,11174.1,2.048,1.048,0.090467288,0.606,0.667,114.354,114.794,0,1422,1633.07949125596,7.12876712328767,8.48949319589493
0,1,11,23.6,14.2,35.6,64.5,20,1.121,0.792,85.314,43.686,11174.1,2.048,1.048,0.090467288,0.606,0.667,114.354,114.794,0,1422,1633.07949125596,7.12876712328767,8.48949319589493
0,1,11,23.7,15.5,36,65,20,1.121,0.792,85.314,43.686,11174.1,2.048,1.048,0.090467288,0.606,0.667,114.354,114.794,0,1422,1633.07949125596,7.12876712328767,8.48949319589493
0,1,11,23.8,14,36.2,66,20,1.121,0.792,85.314,43.686,11174.1,2.048,1.048,0.090467288,0.606,0.667,114.354,114.794,0,1422,1633.07949125596,7.12876712328767,8.48949319589493
0,1,11,23.6,14.5,36.4,66,20,1.121,0.792,85.314,43.686,11174.1,2.048,1.048,0.090467288,0.606,0.667,114.354,114.794,0,1422,1633.07949125596,7.12876712328767,8.48949319589493
0,1,11,23.7,14.5,35.9,66,20,1.121,0.792,85.314,43.686,11174.1,2.048,1.048,0.090467288,0.606,0.667,114.354,114.794,0,1422,1633.07949125596,7.12876712328767,8.48949319589493
0,1,6,25.6,15.5,36.2,68,17,1.129,0.856,77.442,50.932,14994.67,1.859,1.222,0.152915482,0.246,0.286,156.618,158.629,1,573,1637,3.32876712328767,14.5315068493151
0,1,6,25.4,14.8,36.2,68,17,1.129,0.856,77.442,50.932,14994.67,1.859,1.222,0.152915482,0.246,0.286,156.618,158.629,1,573,1637,3.32876712328767,14.5315068493151
0,1,6,25.2,14.1,36.3,69,17,1.129,0.856,77.442,50.932,14994.67,1.859,1.222,0.152915482,0.246,0.286,156.618,158.629,1,573,1637,3.32876712328767,14.5315068493151
0,1,6,25.3,16.4,36.3,70,17,1.129,0.856,77.442,50.932,14994.67,1.859,1.222,0.152915482,0.246,0.286,156.618,158.629,1,573,1637,3.32876712328767,14.5315068493151
0,1,6,25.375,15.2,36.25,68.75,17,1.129,0.856,77.442,50.932,14994.67,1.859,1.222,0.152915482,0.246,0.286,156.618,158.629,1,573,1637,3.32876712328767,14.5315068493151
1,0,5,27,15.9,36.6,69,8,1.396,1.258,112.331,89.155,47112.16,2.696,2.14,0.071617496,0.275,0.321,216.621,220,1,1420,1633.07949125596,8.17534246575342,8.48949319589493
1,0,5,27,15,36.9,69,8,1.396,1.258,112.331,89.155,47112.16,2.696,2.14,0.071617496,0.275,0.321,216.621,220,1,1420,1633.07949125596,8.17534246575342,8.48949319589493
