BirdID	PHt	Hs_obs	Hs_exp	IR	HL
21	0.642857143	1.32744964	1.311106089	-0.238128041	0.308338453
22	0.321428571	0.66372482	0.655553044	0.340302918	0.694442244
25	0.428571429	0.884966427	0.874070726	0.043305161	0.505932142
29	0.607142857	1.253702438	1.238266862	-0.256301616	0.343484012
31	0.464285714	0.958713629	0.946909953	0.018109912	0.4743413
40	0.464285714	0.958713629	0.946909953	0.041255466	0.466090442
42	0.571428571	1.179955236	1.165427634	-0.175240413	0.400876065
44	0.428571429	0.884966427	0.874070726	0.082010295	0.513415744
51	0.357142857	0.737472022	0.728392272	0.22787877	0.559459831
64	0.5	1.032460831	1.01974918	-0.039004405	0.443812953
65	0.464285714	0.958713629	0.946909953	0.113863031	0.455060144
75	0.464285714	0.958713629	0.946909953	0.12547366	0.545439914
78	0.464285714	0.958713629	0.946909953	0.076638787	0.508357361
122	0.571428571	1.179955236	1.165427634	-0.093092049	0.352615187
130	0.678571429	1.401196843	1.383945316	-0.318919581	0.26503698
132	0.464285714	0.958713629	0.946909953	0.10472054	0.523120346
159	0.357142857	0.737472022	0.728392272	0.259975548	0.594581226
163	0.535714286	1.106208034	1.092588407	-0.129611372	0.433664218
168	0.714285714	1.474944045	1.456784543	-0.360517268	0.235322354
171	0.607142857	1.253702438	1.238266862	-0.193763825	0.346102706
172	0.571428571	1.179955236	1.165427634	-0.140747386	0.395284117
176	0.5	1.032460831	1.01974918	0.043269632	0.473564317
178	0.392857143	0.811219225	0.801231499	0.171033532	0.582000064
199	0.5	1.032460831	1.01974918	0.048071699	0.47959292
200	0.607142857	1.253702438	1.238266862	-0.181577246	0.344523219
207	0.571428571	1.179955236	1.165427634	-0.088955122	0.373012266
208	0.607142857	1.253702438	1.238266862	-0.226115631	0.318151628
215	0.642857143	1.32744964	1.311106089	-0.256194751	0.319693863
216	0.5	1.032460831	1.01974918	-0.077338804	0.440216129
217	0.678571429	1.401196843	1.383945316	-0.296526377	0.284187254
220	0.392857143	0.811219225	0.801231499	0.166629419	0.566107723
221	0.392857143	0.811219225	0.801231499	0.16712629	0.549884253
222	0.5	1.032460831	1.01974918	-0.058389943	0.404304792
229	0.535714286	1.106208034	1.092588407	-0.145163997	0.41071309
243	0.321428571	0.66372482	0.655553044	0.347152467	0.67130839
244	0.642857143	1.32744964	1.311106089	-0.297597198	0.324465618
251	0.464285714	0.958713629	0.946909953	-0.018425643	0.463966078
288	0.464285714	0.958713629	0.946909953	0.083604821	0.512641084
293	0.571428571	1.179955236	1.165427634	-0.178400123	0.404636732
297	0.464285714	0.958713629	0.946909953	0.01712926	0.486588074
298	0.321428571	0.66372482	0.655553044	0.269611903	0.625207847
308	0.607142857	1.253702438	1.238266862	-0.233914783	0.358459192
313	0.678571429	1.401196843	1.383945316	-0.324285714	0.238667644
329	0.464285714	0.958713629	0.946909953	0.088883942	0.478560997
331	0.464285714	0.958713629	0.946909953	0.06294755	0.51211862
335	0.571428571	1.179955236	1.165427634	-0.114633661	0.392827139
353	0.5	1.032460831	1.01974918	-0.040112318	0.431924358
360	0.357142857	0.737472022	0.728392272	0.232896491	0.596882514
368	0.535714286	1.106208034	1.092588407	-0.15194518	0.412323579
374	0.535714286	1.106208034	1.092588407	-0.07088083	0.421050896
375	0.321428571	0.66372482	0.655553044	0.35500369	0.638348203
376	0.464285714	0.958713629	0.946909953	0.063173403	0.506603637
379	0.392857143	0.811219225	0.801231499	0.20910922	0.559424804
430	0.5	1.032460831	1.01974918	-0.042465979	0.41893061
436	0.357142857	0.737472022	0.728392272	0.242467755	0.609903513
439	0.571428571	1.179955236	1.165427634	-0.059447886	0.401313543
440	0.5	1.032460831	1.01974918	-0.0874161	0.44039526
441	0.75	1.548691247	1.52962377	-0.468164122	0.171972613
442	0.535714286	1.106208034	1.092588407	-0.039983642	0.418736173
443	0.464285714	0.958713629	0.946909953	0.014667215	0.471341103
444	0.535714286	1.106208034	1.092588407	-0.097586802	0.427656276
445	0.357142857	0.737472022	0.728392272	0.241039151	0.589810147
446	0.5	1.032460831	1.01974918	0.01190684	0.471804925
447	0.392857143	0.811219225	0.801231499	0.167269133	0.576069927
448	0.5	1.032460831	1.01974918	0.009939983	0.430717855
449	0.464285714	0.958713629	0.946909953	0.099438737	0.518210714
450	0.357142857	0.737472022	0.728392272	0.260085076	0.597144725
451	0.535714286	1.106208034	1.092588407	-0.097678377	0.389220423
