TubeNumber,BirdID,SampleDate,Qubit,Island.x,SumVeg_X_Inverts,TQ,TQcorrected,BirthDate,BirthYear,Lifespan,ReproductiveOutput,SexEstimate,CatchTime,season,Sequenced,survive,SamplingAge,Timeinfridge,SampleLeft,SampleType,TerminalYear,LatestEligibleDate,nage,FPID,pop_died,Froh_imp,SequencingRun,mean_TQ_FPID,meancentredTQ,Type
1,6139,2017-06-26,0.0492,CN,22.07,49923.83,49923.83,2014-02-23,2014,5.6,5,0,169,major,0,1,3.3,86,N,F,0,2019-09-23,0.5892857142857143,major_2017,0.09003215434083602,0.117278062,NA,57447.427596153844,-7523.5975961538425,F
10,6729,2017-07-11,0.0384,CN,23.89,63064.91,63064.91,2016-10-10,2016,NA,NA,0,160,major,0,1,0.8,71,Y,F,0,NA,NA,major_2017,0.09003215434083602,0.137960174,NA,57447.427596153844,5617.482403846159,F
100,6778,2017-09-10,0.0852,CN,18.33,41968.89,41968.89,2017-07-17,2017,1.2,NA,0,150,major,0,1,0.2,10,N,F,0,2018-09-30,0.16666666666666669,major_2017,0.09003215434083602,0.038024093,NA,57447.427596153844,-15478.537596153845,F
1000,7224,2022-02-01,0.0564,CN,8.51,13091.1,13091.1,2021-04-03,2021,NA,NA,1,252,minor,0,1,0.8,45,N,F,0,NA,NA,minor_2022,0.13533834586466165,0.105954587,NA,35016.47289719626,-21925.372897196263,F
1001,6745,2022-02-01,0.0848,CN,3.51,10602.29,10602.29,2017-06-19,2017,NA,NA,1,292,minor,0,1,4.6,45,N,F,0,NA,NA,minor_2022,0.13533834586466165,0.171080147,NA,35016.47289719626,-24414.18289719626,F
1002,7225,2022-02-01,0.036,CN,3.51,10602.29,10602.29,2021-05-03,2021,NA,NA,1,292,minor,0,1,0.8,45,Y,F,0,NA,NA,minor_2022,0.13533834586466165,0.062271231,NA,35016.47289719626,-24414.18289719626,F
1003,7228,2022-02-01,0.0656,CN,6.95,16829.54,16829.54,2021-05-03,2021,1.4,NA,1,555,minor,0,1,0.8,45,N,F,1,2022-09-14,0.5714285714285715,minor_2022,0.13533834586466165,NA,NA,35016.47289719626,-18186.93289719626,F
1004,7226,2022-02-02,0.0284,CN,11.62,37317.62,37317.62,2021-05-04,2021,NA,NA,1,342,minor,0,1,0.8,44,N,F,0,NA,NA,minor_2022,0.13533834586466165,0.035867262,NA,35016.47289719626,2301.1471028037413,F
1005,7230,2022-02-02,0.0208,CN,11.62,37317.62,37317.62,2021-02-01,2021,NA,NA,0,238,minor,0,1,1,44,Y,F,0,NA,NA,minor_2022,0.13533834586466165,0.062317785,NA,35016.47289719626,2301.1471028037413,F
1006,7227,2022-02-02,0.0284,CN,11.62,37317.62,37317.62,2021-02-01,2021,NA,NA,1,222,minor,0,1,1,44,N,F,0,NA,NA,minor_2022,0.13533834586466165,0.054124029,NA,35016.47289719626,2301.1471028037413,F
1007,5009,2022-02-02,0.0356,CN,20.86,86911.71,86911.71,2006-10-24,2006,15.4,1,0,154,minor,1,0,15.3,44,N,F,1,2022-03-18,0.9935064935064936,minor_2022,0.13533834586466165,0.093364598,1,35016.47289719626,51895.237102803745,F
1008,7178,2022-02-03,0.022,CN,33.67,160081.67,160081.67,2021-07-19,2021,NA,NA,0,216,minor,0,1,0.5,43,N,F,0,NA,NA,minor_2022,0.13533834586466165,0.066286867,NA,35016.47289719626,125065.19710280375,F
1009,7079,2022-02-03,0.048,CN,44.3,217633.58,217633.58,2018-09-30,2018,NA,NA,0,360,minor,0,1,3.3,43,N,F,0,NA,NA,minor_2022,0.13533834586466165,0.100071072,NA,35016.47289719626,182617.1071028037,F
101,6171,2017-09-09,0.001,CN,29.95,40913.79,40913.79,2014-03-12,2014,4.6,2,1,240,major,0,1,3.5,11,N,F,0,2018-09-30,0.7608695652173914,major_2017,0.09003215434083602,0.180511183,NA,57447.427596153844,-16533.637596153843,F
1010,7223,2022-02-03,0.0204,CN,48.63,65994.29,65994.29,2021-04-28,2021,0.9,NA,1,600,minor,0,0,0.8,43,Y,F,1,2022-03-18,0.888888888888889,minor_2022,0.13533834586466165,0.088529119,NA,35016.47289719626,30977.817102803732,F
1011,7136,2022-02-03,1e-4,CN,48.63,65994.29,65994.29,2019-05-16,2019,NA,NA,0,565,minor,0,1,2.7,43,N,F,0,NA,NA,minor_2022,0.13533834586466165,0.054097452,NA,35016.47289719626,30977.817102803732,F
1012,7204,2022-02-03,1e-4,CN,48.63,65994.29,65994.29,2020-12-05,2020,1.8,NA,1,587,minor,0,1,1.2,43,N,F,1,2022-09-14,0.6666666666666666,minor_2022,0.13533834586466165,0.08599041,NA,35016.47289719626,30977.817102803732,F
1013,7229,2022-02-04,0.0556,CN,1.96,5346.83,5346.83,2021-05-06,2021,NA,NA,1,175,minor,0,1,0.8,42,Y,F,0,NA,NA,minor_2022,0.13533834586466165,0.061139708,NA,35016.47289719626,-29669.64289719626,F
1014,7182,2022-02-04,0.0216,CN,16.02,17639.73,17639.73,2020-07-23,2020,NA,NA,0,288,minor,0,1,1.5,42,Y,F,0,NA,NA,minor_2022,0.13533834586466165,0.040730143,NA,35016.47289719626,-17376.74289719626,F
1015,7231,2022-02-04,0.0212,CN,5.19,8764.04,8764.04,2021-02-03,2021,NA,NA,1,564,minor,0,1,1,42,N,F,0,NA,NA,minor_2022,0.13533834586466165,0.086525241,NA,35016.47289719626,-26252.43289719626,F
1016,6676,2022-02-04,0.0912,CN,13.9,25694.94,25694.94,2016-07-14,2016,6.7,NA,1,554,minor,1,1,5.6,42,Y,F,0,2023-03-27,0.835820895522388,minor_2022,0.13533834586466165,0.132793312,1,35016.47289719626,-9321.532897196263,F
1017,7233,2022-02-05,0.0122,CN,11.06,30575.78,30575.78,2021-09-21,2021,1.5,NA,1,595,minor,0,1,0.4,41,N,F,0,2023-03-27,0.26666666666666666,minor_2022,0.13533834586466165,NA,NA,35016.47289719626,-4440.6928971962625,F
1018,7153,2022-02-07,0.0108,CN,11.62,32824.71,32824.71,2021-03-23,2021,NA,NA,0,170,minor,0,1,0.9,39,Y,F,0,NA,NA,minor_2022,0.13533834586466165,0.071724444,NA,35016.47289719626,-2191.762897196262,F
1019,6844,2022-02-07,0.0156,CN,16.04,16441.21,16441.21,2017-10-08,2017,4.9,NA,1,170,minor,0,1,4.3,39,N,F,1,2022-09-14,0.8775510204081631,minor_2022,0.13533834586466165,0.11667688,NA,35016.47289719626,-18575.262897196262,F
